ITS_ID,HOF_ID,Full_Name,Passoport Number,Visa Number,Passport Expiry Date,Date of Birth
40418211,20366417,Razia bai Miqdad bhai Madhwala,KZZYXPTF,FYCCVKISBQ,10/06/2035,01/07/2031
40907288,20366417,Hassan bhai Miqdad bhai Madhwala,EHAO7SEY,PRS8XZOURR,30/03/2026,25/04/2027
20366454,20366454,Mustafa bhai Saleh bhai Petiwala,6TFMXIOP,ZRSRUHPR6E,19/02/2027,25/04/2035
40418251,20366454,Nafisa bai Mustafa bhai Petiwala,D6FFPFYB,FO1POO430B,29/05/2027,17/12/2031
40418252,20366454,Taha bhai Mustafa bhai Petiwala,OHXNEHSS,46X43UHG0B,05/09/2030,30/01/2031
40497492,20366454,Munira bai Taha bhai Petiwala,JW4L8ZT9,5DTM0QQC7O,28/10/2026,16/11/2029
50488940,20366454,Murtaza bhai Taha bhai Petiwala,H16QZO9X,LHK57DYF14,02/12/2031,30/04/2028
50471386,20366454,Zahra bai Taha bhai Petiwala,TUWL2UC9,12TXXHMI4P,04/08/2027,17/07/2034
20367241,20367241,Qasimhusain bhai Mansoor bhai Lakdawala,6FK2CW3U,E2X8LNN4HC,24/07/2034,11/02/2030
40453481,20367241,Munira bai Qasimhusain bhai Lakdawala,M0WJ3NO6,XZDNBSEFU0,23/07/2026,29/03/2027
40453484,20367241,Ahmedali bhai Qasimhusain bhai Lakdawala,OG4EGJ67,VCUZXZBQ5P,01/12/2026,03/03/2033
40498172,20367241,Zainab bai Ahmedali bhai Lakdawala,R6LH6A83,LCKZCGZJZ4,27/01/2030,23/11/2034
50203854,20367241,Fatema bai Ahmedali bhai Lakdawala,IR8WQL6T,HOVXTM04F2,29/05/2028,03/05/2028
40202954,20367241,Abbas bhai Ahmedali bhai Lakdawala,40WIZCCB,89ZB8EJ7RD,26/12/2034,21/05/2034
50240519,20367241,Aamena bai Ahmedali bhai Lakdawala,60CSX154,0696YBAPT5,11/09/2029,18/04/2031
20367981,20367981,Shaikh Zoeb bhai Taiyebali bhai Kairaniwala,AFJ78I0I,RQDRPP85JN,23/11/2025,09/09/2025
40443700,20367981,Maryam bai Shaikh Zoeb bhai Kairaniwala,WE6AGLFZ,F91IAV8KHD,02/05/2035,26/11/2027
40444001,20367981,Yusuf bhai Shaikh Zoeb bhai Kairaniwala,Q4L7Y941,6ISEA6OVLB,25/09/2029,06/08/2027
40482176,20367981,Khadija bai Yusuf bhai Kairaniwala,E5I8UJO4,1QL7DM36VL,02/04/2029,29/08/2032
40152530,20367981,Mohammed bhai Yusuf bhai Kairaniwala,HMUX16JB,ORSYJYLQX5,03/02/2025,11/12/2024
40194872,20367981,Burhanuddin bhai Yusuf bhai Kairaniwala,ORH7EP1X,8PZGUO56IT,28/09/2027,07/10/2033
40194873,20367981,Batool bai Yusuf bhai Kairaniwala,M9KB7A76,W77UMAV9GQ,02/09/2026,24/10/2033
40485934,20368394,Razia bai Khuzaima bhai Bandukwala,EAUAWEHC,B3SISRFVKK,28/08/2024,26/03/2025
20368394,20368394,Khuzaima bhai Alimohammed bhai Bandukwala,SRLX9R8G,OD2BLDPF1E,06/05/2027,17/08/2027
40485936,20368394,Aliabbas bhai Khuzaima bhai Bandukwala,U9PILXUX,SX1AP30RXT,27/05/2034,17/09/2033
40485981,20368394,Naamah bai Aliabbas bhai Bandukwala,KMCWEMG1,471XN28LSS,03/05/2035,22/09/2024
40486695,20368609,Kulsum bai Nooruddin bhai Valika,IQH5MJI6,JWVOFJFY3E,28/01/2035,08/10/2031
20368609,20368609,Hasnain bhai Muneer bhai Safri,K811ZQA1,DAV7R0U53R,10/02/2034,12/09/2029
40486696,20368609,Maryam bai Muneer bhai Safri,77MTJJ03,2B5A6TH08A,29/07/2029,07/03/2035
40486698,20368609,Tasneem bai Hasnain bhai Safri,5UPZLDNY,J3A7DLAH9M,16/07/2031,16/12/2032
40486699,20368609,Sakina bai Ibrahim bhai Asgharali,5JPVHHG6,WO3IM4RE6Z,08/06/2034,08/11/2033
50472415,20368609,Zainab bai Hasnain bhai Safri,MPAKL7Y5,LQ800I7RTH,04/10/2028,22/03/2030
30928227,20368609,Sakina bai Mufaddal bhai Katherawala,SETJMWLA,4SMUO9LPS8,19/04/2027,04/07/2029
50472458,20368609,Arwa bai Hasnain bhai Safri,TNK5JDBI,HF2G4RQ9M5,23/04/2027,11/05/2035
40918233,20368609,Batul bai Mufaddal bhai Katherawala,FYIP1YPZ,F64RDLSCM5,24/05/2027,06/10/2033
20368811,20368811,Shahnaz bai Rahat bhai Kapadia,IGM28JFZ,3BJZYRFSDR,27/05/2029,02/08/2030
40486801,20368811,Tasneem bai Daniyal bhai Kapadia,JEBHJQSX,MWR04EAOF9,23/02/2031,06/10/2025
40453707,20368811,Daniyal bhai Rahat bhai Kapadia,PYCRNDIX,ZXQMZ6F1VK,21/07/2028,30/04/2035
50230157,20368811,Eshaq bhai Daniyal bhai Kapadia,JCRHJXNG,LC0L9W5MNG,02/05/2029,26/11/2031
20370439,20370439,Hakimuddin bhai Shaikh Noman bhai Poonawala,6KVZXQ9J,PCF8EA72JY,25/06/2029,31/01/2035
40497091,20370439,Shameem bai Hakimuddin bhai Poonawala,YQDSMAGT,0Z57J2R0DS,13/05/2028,24/05/2028
40497095,20370439,Tayyeb bhai Hakimuddin bhai Poonawala,5AS6RDTP,92IDKJU3WB,31/08/2027,25/06/2025
40497774,20370439,Fatema bai Tayyeb bhai Poonawala,9O971BVJ,FW7TNZP3W4,20/06/2027,24/04/2035
50493575,20370439,Ammar bhai Tayyeb bhai Poonawala,KB5A7HU6,R498IIG2DX,30/10/2031,19/03/2026
50489246,20370439,Arwa bai Tayyeb bhai Poonawala,9LY483FU,GR3QRJY24X,06/09/2027,11/06/2032
20373892,20373892,Shaikh Murtaza bhai Mulla Najmuddin bhai Godhrawala,JJFZY0ME,DDGS0NWF5Z,19/10/2034,28/12/2029
40471105,20373892,Zainab bai Shaikh Murtaza bhai Godhrawala,5UXPPPFC,SIBBJZSS86,08/02/2030,22/04/2028
40471106,20373892,Mulla Husain bhai Shaikh Murtaza bhai Godhrawala,DAZTX8BS,TUW437B6O6,06/03/2029,13/02/2031
30804556,20373892,Fakhruddin bhai Shaikh Murtaza bhai Godhrawala,DWB56715,YEK8OXVN2W,06/04/2033,11/10/2029
50493572,20373892,Hatim bhai Shaikh Murtaza bhai Godhrawala,A4XYJGUZ,NUPM8XPD3W,23/05/2034,21/05/2030
40160299,20373892,Burhanuddin bhai Shaikh Murtaza bhai Godhrawala,UXNW8V2E,LN0Y6NRCYA,26/08/2027,06/07/2024
20375024,20375024,Mulla Huzaifa bhai Nooruddin bhai Khambaty,3ADAW73E,EBDWY6HOOW,01/05/2035,12/03/2030
30386144,20375024,Fatema bai Mulla Huzaifa bhai Khambaty,AENXJUOT,H124PW4FDA,16/07/2028,28/09/2030
30386145,20375024,Husain bhai Mulla Huzaifa bhai Khambaty,7JDY10XN,2QGEBGK071,10/07/2034,18/09/2025
30702188,20375024,Zainab bai Mulla Huzaifa bhai Khambaty,ZTIZPWXM,0LMRIHX0L3,12/06/2030,06/09/2028
20376196,20376196,Shaikh Hatim bhai Mulla Ahmedali bhai Joherglass,N73J2K6I,6OC2BU1U15,02/02/2030,27/09/2025
40481127,20376196,Sakina bai Shaikh Hatim bhai Joherglass,QU8COIT8,BDE1433370,02/06/2025,20/10/2031
20376294,20376294,Shaikh Yusho bhai Nuruddin bhai Murad,DSJB46KY,OVBP2KQTLM,25/08/2031,19/06/2030
40481522,20376294,Fatema bai Shaikh Yusho bhai Murad,X9DGGGGY,CEOLIR608B,14/05/2035,07/09/2027
40481523,20376294,Mulla Husain bhai Shaikh Yusho bhai Murad,T2UQYKZR,DEI0TBXWLD,26/06/2030,27/03/2030
60404043,20376294,Hawra bai Mulla Husain bhai Murad,GNRCG67O,CV5CM286Z6,23/12/2033,08/08/2026
40481525,20376294,Hasan bhai Shaikh Yusho bhai Murad,V3NRHPUB,HHIJ4RAEKR,02/01/2031,28/10/2026
40437750,20376294,Sarrah bai Hasan bhai Murad,TZV73KCZ,QZRPN7C5ZB,12/12/2030,29/10/2027
40904352,20376294,Zahra bai Hasan bhai Murad,GXMWNAW5,IZ6F98Q47T,09/07/2026,06/08/2027
40171053,20376294,Burhanuddin bhai Mulla Husain bhai Murad,Z0FQGMK2,TRU3SEWMIO,20/06/2025,26/03/2031
40172433,20376294,Zainab bai Mulla Husain bhai Murad,I10MMN1L,VD2QLCET0C,06/04/2025,16/09/2024
40202961,20376294,Miqdad bhai Hasan bhai Murad,GHPT0KD1,VFJV61ZQHJ,23/04/2026,20/01/2034
20377740,20377740,Shaikh Mustafa bhai Hashim bhai Jabalpurwala,T01GY38G,BEM2V1XU7W,06/07/2035,24/03/2028
40476244,20377740,Maleka bai Shaikh Mustafa bhai Jabalpurwala,0FFQF4O0,AGWVPZKTQQ,26/08/2030,24/02/2026
40476245,20377740,Moiz bhai Shaikh Mustafa bhai Jabalpurwala,57LYV2ZS,WUI7ZY9LKV,29/05/2034,15/08/2027
40447935,20377740,Insia bai Moiz bhai Jabalpurwala,VZVBPLWA,AHBDNI7Z5I,15/10/2028,07/02/2031
40171058,20377740,Burhanuddin bhai Moiz bhai Jabalpurwala,GJTVBG00,N4NGT4HKCG,13/02/2035,23/02/2030
40202959,20377740,Mohamed bhai Moiz bhai Jabalpurwala,2UHNBEWI,FW2MLIFTW0,18/05/2035,21/07/2027
20380395,20380395,Saifuddin bhai Mulla Qurban bhai Udaipur wala,WRQPWGU7,LKXHBZVGBV,05/10/2032,31/08/2028
40462757,20380395,Shireen bai Saifuddin bhai Udaipur wala,XDB6R7Z7,FODSNSPM4C,15/02/2030,20/12/2030
40491800,20380395,Ruqaiyah bai Hasan bhai Ezzi,N684XGZ1,6X46Z8OKSZ,10/12/2029,19/03/2026
60441367,20380395,Naqiyah bai Saifuddin bhai Udaipur wala,9GEO8R3V,6EF91VFJLL,16/01/2025,13/07/2031
20380698,20380698,Zoherhusain bhai Sultanali bhai Darwala,LGQRE8DH,31POVAD2VN,17/11/2029,19/05/2027
40497865,20380698,Munira bai Zoherhusain bhai Darwala,YNQ0FD1K,8XYNSM4EU6,31/08/2026,13/10/2026
40497864,20380698,Ibrahim bhai Zoherhusain bhai Darwala,08ORUFEC,MDP07UM9DD,04/09/2033,15/06/2033
40491766,20380698,Fatema bai Zoherhusain bhai Darwala,DKET4762,RW7VR7ZSCP,26/05/2032,18/06/2030
40492218,20381622,Zaitoon bai Ibrahim bhai Madar wala,2AYJIYYS,YILMDL9BW9,06/11/2032,15/09/2032
20381622,20381622,Habib bhai Ibrahim bhai Khambatwala,38CZG84A,URPIRP8V8X,30/11/2027,03/06/2026
40481638,20381622,Fatema bai Habib bhai Khambatwala,WY4P2OT8,MBUT7CY9N3,10/08/2032,29/05/2025
40481639,20381622,Muslim bhai Habib bhai Khambatwala,7P86Y3MZ,C9PNVZ0NIK,15/01/2028,29/05/2030
30445129,20381622,Vazira bai Muslim bhai Khambatwala,9LPQIG8G,OINMQG0A3H,05/06/2035,23/06/2032
40190618,20381622,Ruqaiya bai Muslim bhai Khambatwala,DF5UPN5D,Z5A8G2FYGW,07/09/2025,06/09/2033
40223812,20381622,Habiba bai Muslim bhai Khambatwala,6T5AACFJ,L17PXUHPFK,06/05/2028,16/05/2027
20382304,20382304,Mulla Murtazaali bhai Amirali bhai Burhani,RY8R3V3S,NQ8BA6GYOW,17/12/2032,10/09/2027
60404010,20382304,Rashida bai Mulla Murtazaali bhai Burhani,2WJE0FUB,9SJY881OCG,24/02/2027,15/10/2024
60404012,20382304,Husain bhai Mulla Murtazaali bhai Time & tune,U73X18A7,NGGDOH3O5W,18/07/2033,05/11/2031
60404013,20382304,Zainab bai Mulla Murtazaali bhai Burhani,99Z3X8ZW,RR080PNUM7,03/12/2025,27/08/2026
60404014,20382304,Abbas bhai Mulla Murtazaali bhai Burhani,K1D9IEWX,UMLHIVMTB5,07/02/2028,05/02/2025
20382305,20382305,Shaikh Shoeb bhai Shamsuddin bhai Bandookwala,FES3CAES,Z2F7JJ8IPC,19/04/2035,06/03/2027
60404015,20382305,Masuma bai Shaikh Shoeb bhai Bandookwala,NO197MNV,5CVUZ23SUS,27/03/2028,21/03/2034
60404016,20382305,Mulla Moayyad bhai Shaikh Shoeb bhai Bandookwala,CAEQ1W0D,BE0DK7TBWV,11/04/2035,26/04/2035
60404018,20382305,Zainab bai Mulla Moayyad bhai Bandookwala,O4SA8KS7,NJ58C6WPF7,17/02/2026,12/09/2025
60404019,20382305,Fatema bai Mulla Moayyad bhai Bandookwala,CRM2VO8E,CDVN7O9HQX,16/05/2031,06/08/2024
30924556,20382305,Sakina bai Mulla Moayyad bhai Bandookwala,XGIWOH0Q,RQR9GSJXML,17/05/2035,20/04/2028
30924555,20382305,Hamza bhai Mulla Moayyad bhai Bandookwala,WJN4SS74,TJ5SMMMQIS,16/09/2026,21/12/2024
50162334,20382305,Burhanuddin bhai Mulla Moayyad bhai Bandookwala,T6N8TPQS,VK7KL4AKT5,26/09/2026,23/03/2035
20382306,20382306,Abdeabiturab bhai Shaikh Taher bhai Khambatwala,VJY9WBCK,I4ANRIS3X5,28/11/2034,20/09/2024
60404020,20382306,Rashida bai Abdeabiturab bhai Khambatwala,VRH9II8K,03BXIYAAPT,19/04/2025,30/07/2032
50471398,20382306,Mubarakah bai Abdeabiturab bhai Khambatwala,5ZMAMMDH,H8HPCO069R,28/06/2031,06/12/2027
20382307,20382307,Nafisa bai Moizali bhai Mangla,6PNH0K20,0JDU8TSJGH,05/12/2034,21/07/2032
60404023,20382307,Kulsum bai Moizali bhai Lotia,MVHJIS04,S01WVGOK9O,29/03/2025,30/12/2029
60404021,20382307,Yusuf bhai Moizali bhai Lotia,8UUBEOZL,4B0SWXDCQF,22/05/2035,07/12/2024
60404022,20382307,Tasneem bai Yusuf bhai Lotia,HLV1PG3H,JPK182YMVW,10/09/2028,24/05/2031
30924403,20382307,Ammar bhai Yusuf bhai Lotia,8J0QNNB5,0MWJDUZ70I,25/03/2030,15/07/2032
40907271,20382307,Aliasger bhai Yusuf bhai Lotia,LCG9VRV0,VPHGM1BHGZ,26/05/2031,21/09/2027
20382310,20382310,Maryam bai Qaimali bhai Hakimji,8PKY77RH,AKHUFUF20F,03/11/2031,25/11/2024
20382312,20382312,Imranali bhai Yusufali bhai Jiwaji,XK25N05K,7ZH2PVZGPE,24/08/2032,01/10/2025
60404039,20382312,Rashida bai Imranali bhai Jiwaji,OJCGP4L5,5ILUUM22OM,13/12/2034,16/03/2033
20382313,20382313,Shaikh Shabbir bhai Shaikh Mohammedali bhai Saylawala,C8SRUX2Z,NPMMBCKD66,07/10/2027,03/12/2028
60404041,20382313,Zahabiyah bai Shaikh Shabbir bhai Saylawala,J5AQL0KQ,BJGM0GH04Y,30/11/2027,03/06/2033
40453330,20382314,Mumtaz bai Saifuddin bhai Darwala,JZAVUU7S,JVQ9BWMS51,03/05/2025,28/03/2027
20382314,20382314,Murtaza bhai Ghulamabbas bhai Esajee,EKQ5SGLL,5JEU3JOS2L,03/12/2032,05/05/2027
60404045,20382314,Munira bai Murtaza bhai Esajee,XT3O8C5D,GDIQJ1JN92,31/12/2024,18/07/2025
20382315,20382315,Husain bhai Yusufali bhai Kalawadwala,P984HA6M,QT5GIA1UI3,10/03/2031,28/08/2031
60404048,20382315,Shireen bai Husain bhai Kalawadwala,TNW5K1OP,JCKXIPF7BO,12/10/2030,15/07/2030
60404049,20382315,Murtaza bhai Husain bhai Kalawadwala,7BCYO95Y,7P7GMY0YHN,04/09/2026,07/09/2029
20382316,20382316,Shaikh Shabbirhusain bhai Shaikh Qayum bhai Ezzy,68R0AJ70,OQVVFB7PD6,21/05/2027,02/05/2025
60404052,20382316,Hussaina bai Shaikh Shabbirhusain bhai Ezzy,DZ5ROBUL,6EHT1RVW56,23/03/2035,10/03/2029
60404053,20382316,Mulla Ibrahim bhai Shaikh Shabbirhusain bhai Ezzy,CGWPH8R9,0NOLL41C62,24/07/2032,12/10/2032
60404083,20382316,Zainab bai Mulla Ibrahim bhai Ezzy,3I9FAAQO,4P1YBIOYWM,05/06/2035,26/08/2027
30905845,20382316,Husain bhai Mulla Ibrahim bhai Ezzy,P4YXKK3W,3F83ODCYYM,19/09/2024,19/11/2024
40907273,20382316,Burhanuddin bhai Mulla Ibrahim bhai Ezzy,ZR1HDMDI,1VPHAJES24,27/09/2028,24/01/2029
40190614,20382316,Mohammed bhai Mulla Ibrahim bhai Ezzy,266GBT8T,6PK2H6JRJ1,23/10/2027,18/07/2034
20382320,20382320,Mulla Mustansir bhai Mulla Qurbanhusain bhai Super kaka sweet,EV6AV8YS,KWAZGNQPRN,22/03/2034,26/05/2025
60404069,20382320,Sakina bai Mulla Mustansir bhai Super kaka sweet,QHT1WKK0,6U6E5S1CFR,22/12/2031,22/08/2024
60404074,20382320,Husain bhai Mulla Mustansir bhai Swwetwala,AHPR4BZR,A2RLFDNPG0,30/05/2025,29/05/2034
60404076,20382320,Mohammed bhai Mulla Mustansir bhai Sweetwala,HAFQI8NE,3J4ZLJL3WG,24/05/2030,11/10/2029
20382321,20382321,Mulla Nooruddin bhai Mulla Ismail bhai Jivajee,0O55KC6Q,209K8NLSQI,12/06/2027,21/07/2029
60404078,20382321,Umaima bai Mulla Nooruddin bhai Jivajee,ENWNL4F3,6C4LNWTRDA,16/10/2027,31/07/2029
60404079,20382321,Ali bhai Mulla Nooruddin bhai Jivajee,O0MVZEF4,I653FM8QQP,18/04/2033,11/06/2030
60404081,20382321,Ibrahim bhai Mulla Nooruddin bhai Jivajee,O7PQGVDF,PV5OHHYJCU,01/01/2033,08/12/2029
40497714,20382321,Alefiyah bai Ali bhai Jivajee,2FTMBBPN,C8TAQIMLLI,01/10/2033,07/01/2035
40448923,20382321,Fatema bai Ibrahim bhai Jivajee,Y64VZB9T,5KWY07R9WA,28/05/2032,15/04/2031
50161758,20382321,Batool bai Ali bhai Jivajee,JCXCD6Q3,4Z51BLDGR6,15/11/2024,05/01/2031
40190621,20382321,Burhanuddin bhai Ali bhai Jivajee,1BN8GCI9,TU6BFNQ62A,23/08/2034,06/11/2033
40220600,20382321,Ummehani bai Ibrahim bhai Jivajee,KB5L1E2V,XCTFO9TAYD,27/06/2035,25/06/2031
20382324,20382324,Shoebali bhai Mulla Ibrahim bhai Patanwala,DN7NOAL1,NNAZXVYB00,19/10/2032,09/02/2030
60404089,20382324,Nafisa bai Shoebali bhai Patanwala,GDMPYTMP,F691G0X2JW,19/11/2027,20/12/2027
60404090,20382324,Juzer bhai Shoebali bhai Patanwala,KQB8DSCQ,F62JK4L3YC,12/01/2025,10/12/2028
60404091,20382324,Abizer bhai Shoebali bhai Patanwala,WFNU0F38,Q8NCKSEOMT,14/07/2028,27/11/2033
40459208,20382324,Batul bai Abizer bhai Patanwala,C236IQYC,D3UUR568V9,15/06/2031,03/03/2033
40481685,20382324,Khadija bai Juzer bhai Patanwala,0ZKDYNBK,1EEKVEMRQU,07/09/2033,13/02/2030
30900686,20382324,Aliasgar bhai Abizer bhai Patanwala,N3JBO3BN,UY2O63XNIP,17/08/2025,20/01/2030
40907264,20382324,Zainab bai Abizer bhai Patanwala,LZZY1KP9,W7A53SFA3I,10/11/2031,14/05/2033
30142404,20382324,Zahra bai Juzer bhai Patanwala,FSXCZB5S,WVPHE56TUK,14/06/2032,06/08/2029
40202946,20382324,Insia bai Juzer bhai Patanwala,EG9PG9UN,MO8BZZNXU2,29/11/2029,06/11/2032
60404447,20382325,Bilqis bai Shaikh Mansoorali bhai Valijee,ZG2XP39C,HAZF6B9VI5,03/02/2027,06/02/2028
20382325,20382325,Mulla Noman bhai Shaikh Mansoorali bhai Valijee,T178HAUO,3A3G3PYS0K,07/10/2034,21/04/2026
60404095,20382325,Hasan bhai Mulla Noman bhai Valijee,86GXR97E,QS9ZQRG644,21/10/2031,22/11/2030
20382326,20382326,Shaikh Fazleabbas bhai Shaikh Qayum bhai Ezzy,OPS67D1T,OCSQJGR7RC,15/02/2033,29/09/2026
60404096,20382326,Mulla Zubaida bai Shaikh Fazleabbas bhai Ezzy,JRNDA8CB,KNIOMQR9L1,12/07/2028,21/06/2030
60404097,20382326,Shaikh Mufaddal bhai Shaikh Fazleabbas bhai Ezzy,X08OGBBS,ZR8NFXQE31,29/09/2028,17/12/2026
60404098,20382326,Jamila bai Shaikh Mufaddal bhai Ezzy,1LQQ2HXM,X33V696EPT,02/09/2025,24/06/2030
60404102,20382326,Mulla Aliasgar bhai Shaikh Fazleabbas bhai Ezzy,HRWYAB4X,BYL2AVLHOZ,05/06/2025,25/08/2030
60404105,20382326,Tasneem bai Mulla Aliasgar bhai Ezzy,5ZL494P7,7X91W92N86,25/07/2027,22/02/2027
60404099,20382326,Lamak bhai Shaikh Mufaddal bhai Ezzy,HIFJ3UHQ,GW802X4WFL,22/06/2029,12/09/2032
60404100,20382326,Naqiyah bai Mustafa bhai Lokhandwala,9HQV6FG4,048L2CC69N,01/04/2026,28/11/2027
40484826,20382326,Ummekulsum bai Lamak bhai Ezzy,A4XULDK0,BSAV5AD6X0,15/06/2028,29/09/2027
60404101,20382326,Mulla Danyal bhai Shaikh Mufaddal bhai Ezzy,E7DPNQAG,DA79VUVH8G,22/03/2027,17/11/2029
30918756,20382326,Mariyah bai Mulla Aliasgar bhai Ezzy,80C4BRU6,HPC5BOKXJJ,12/02/2028,24/08/2024
40907261,20382326,Maryam bai Mulla Aliasgar bhai Ezzy,FCKUG0D3,LS0U9FE3N0,23/03/2033,18/02/2035
40907258,20382326,Zahra bai Mulla Aliasgar bhai Ezzy,3MXYXYB9,WTYDWYVFNG,07/03/2032,17/05/2032
40223804,20382326,Fatema bai Lamak bhai Ezzy,HWNEBH8T,2EUSJVMOAF,29/05/2029,14/04/2028
20382327,20382327,Shaikh Zoebali bhai Akberali bhai Mundrawala,PB5VD5W3,0BK8IO9JLW,21/07/2033,07/05/2031
60404103,20382327,Sakina bai Shaikh Zoebali bhai Mundrawala,IEK6LLNY,9CWBQ91Z3H,06/10/2028,25/05/2033
60404104,20382327,Qasimali bhai Shaikh Zoebali bhai Mundrawala,NDVKGIGU,65DC4RQHBU,09/11/2030,13/07/2032
60404322,20382327,Zainab bai Qasimali bhai Mundrawala,MKB7VJBG,2UM8S8V23M,08/11/2026,07/11/2029
30151612,20382327,Hatim bhai Qasimali bhai Mundrawala,3DQC3FO3,6VFJTZN48G,27/11/2031,11/07/2034
40904353,20382327,Burhanuddin bhai Qasimali bhai Mundrawala,84MKQFTE,5PK2IVT02O,16/02/2027,15/12/2034
40223811,20382327,Nafeesa bai Qasimali bhai Mundrawala,JTL5OL4S,3VKGT3RRHU,25/01/2028,04/06/2035
20382333,20382333,Fatema bai Mulla Yunus bhai Peshawar wala,6289R84X,4PT4D0SDTG,26/07/2031,10/07/2028
60404130,20382333,Zainab bai Mulla Yunus bhai Peshawar Wala,DILYF8K9,LN495MB49Q,29/06/2033,14/08/2028
60404131,20382333,Sakina bai Mulla Yunus bhai Peshawar Wala,ZBWMTS2Y,1R2ZDDCWMJ,08/10/2026,21/04/2029
20382337,20382337,Shabbir bhai Shaikh Faiyazhusain bhai Furniturerwala,NF4H8GL8,7R2JOEIDLV,14/02/2026,25/10/2028
60404152,20382337,Maria bai Shabbir bhai Furniturerwala,U2W69WRQ,SLNM0HWDUA,15/03/2034,26/12/2027
60404154,20382337,Huzaifa bhai Shabbir bhai Furniture wala,VWD1E5RN,30YMRCPLI8,03/10/2033,16/07/2026
60404155,20382337,Aliasgar bhai Shabbir bhai Furniture wala,Y58K5Q52,179RDA26DB,06/06/2033,08/11/2025
60459698,20382337,Ruqaiyah bai Huzaifa bhai Furniture wala,9AP0UDXL,JI3AQO216A,31/05/2029,16/09/2034
40481738,20382337,Fatema bai Aliasgar bhai Furniture wala,MV5Z2U69,I1IWZOG1DD,23/01/2028,01/04/2025
20382338,20382338,Husamuddin bhai Sadiqali bhai Adamjee mamonjee,7QKUZMDZ,MXUEZ2WPVH,30/08/2031,20/08/2025
60404156,20382338,Zainab bai Husamuddin bhai Adamjee mamonjee,FYV1ER66,MC74ANQNKJ,12/04/2026,18/08/2032
60404158,20382338,Aliasgar bhai Husamuddin bhai Adamjee,OAJ68Q37,H6VNL8949P,31/08/2033,04/09/2030
60404471,20382338,Fatima bai Aliasgar bhai Adamjee,41RVU3AM,XNMTVN3IOP,24/12/2026,09/01/2026
60404157,20382338,Murtaza bhai Husamuddin bhai Adamjee mamonjee,SW8NUHE7,7W88ZZEC5H,17/02/2029,01/09/2025
40496887,20382338,Sakina bai Murtaza bhai Adamjee mamonjee,0H6KDQZU,R0KJYI52XV,08/12/2029,02/05/2030
40171063,20382338,Burhanuddin bhai Aliasgar bhai Adamjee,RFPGMR41,M982EL0GZW,26/08/2028,31/03/2029
40202951,20382338,Hussaina bai Aliasgar bhai Adamjee,8DZ5VMDD,2HUGLUJL1Y,15/01/2026,25/12/2033
40202956,20382338,Husaina bai Murtaza bhai Adamjee mamonjee,HRR763ER,RRV07HPAXA,04/03/2032,22/05/2031
40230414,20382338,Hasan bhai Murtaza bhai Adamjee mamonjee,6CNWH6Z2,PQ7299GOZV,03/10/2028,21/08/2030
